"Status [Canceled, In Design, On Hold, Paid, Paid(Override), Partially Paid, To be Paid, Void]",*Payment Header Number (Text - 30),Status Date (Date),Planned Date (Date),Planned Amount (Decimal),Planned Currency,Actual Amount (Decimal),Actual Currency,Actual Date (Date),Offset Number (Text - 30),Offset Amount (Decimal),Offset Date (Date),Allocation Share - Start with and separate by ^ (e.g. '^35^15^50') (Text),Vendor Number - Start with and separate by ^ (e.g. '^VND1^VND0492^VND9348') (Text),Vendor Location Number - Start with and separate by ^ (e.g. '^VND1^VND0492^VND9348') (Text),Allocation Description - Start with and separate by ^ (e.g. '^Ck A/C 6557607504^Monticello RSA-4^Summerville') (Text),"Allocation Type - Start with and separate by ^ (e.g. '^Payee Account^Payee Account^Payee Account') [Budget Account, Business Area, Cost Center, GL Account, Journal Account, Payee Account, Profit Center]","By Percent or Amount? [PCT, AMT]",Reference No (Text - 30),Remarks (Text - 4000),Check Number (Text - 30),Check Amount (Decimal),Check Date (Date),Partials Actual Amount,Partials Actual Date,Partials Check No,Partials Check Amount,Partials Check Date,Partials Check Reference No,Partials Remarks
Paid(Override),303477,,1/1/2006,1796.5,USD,1796.5,USD,4/5/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,"1500250242,  4/5/2006, 4,630,632.67, 1,796.50 Updated via script on 12/19/06.",,,,,,,,,,,
Paid(Override),303477,,10/1/2006,1796.5,USD,1796.5,USD,9/27/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,P 2006/09/28 P 2006/09/28,1500824341,4193778.32,9/29/2006,,,,,,,,
Paid(Override),303477,,11/1/2006,1796.5,USD,1796.5,USD,10/18/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,PP 1500891795102306 2006/10/23 4248275.12 1796.50 PP 1500891795102306 2006/10/23 4248275.12 1796.50 P 2006/10/19 P 2006/10/19 P 2006/10/19,1500891795,4248275.12,10/23/2006,,,,,,,,
Paid(Override),303477,,12/1/2006,1796.5,USD,1796.5,USD,11/15/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,P 2006/11/16 PP 1500970423111706 2006/11/17 4259106.67 1796.50 P 2006/11/16,1500970423,4259106.67,11/17/2006,,,,,,,,
Paid(Override),303477,,2/1/2006,1796.5,USD,1796.5,USD,4/5/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,"1500250242,  4/5/2006, 4,630,632.67, 1,796.50 Updated via script on 12/19/06.",,,,,,,,,,,
Paid(Override),303477,,3/1/2006,1796.5,USD,1796.5,USD,4/5/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,"1500250242,  4/5/2006, 4,630,632.67, 1,796.50 Updated via script on 12/19/06.",,,,,,,,,,,
Paid(Override),303477,,4/1/2006,1796.5,USD,1796.5,USD,4/5/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,"1500250242,  4/5/2006, 4,630,632.67, 1,796.50 Updated via script on 12/19/06.",,,,,,,,,,,
Paid(Override),303477,,5/1/2006,1796.5,USD,1796.5,USD,5/1/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,"1500334006,  5/1/2006, 6,607,527.00, 1,796.50 Updated via script on 12/19/06.",,,,,,,,,,,
Paid(Override),303477,,6/1/2006,1796.5,USD,1796.5,USD,6/1/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,"1500434016,  6/1/2006, 4,216,385.50, 1,796.50 Updated via script on 12/19/06.",,,,,,,,,,,
Paid(Override),303477,,7/1/2006,1796.5,USD,1796.5,USD,7/5/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,"1500558051,  7/5/2006, 4,219,978.50, 1,796.50 Updated via script on 12/19/06.",,,,,,,,,,,
Paid(Override),303477,,8/1/2006,1796.5,USD,1796.5,USD,8/2/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,"1500646213,  8/2/2006, 4,245,129.50, 1,796.50 Updated via script on 12/19/06.",,,,,,,,,,,
Paid(Override),303477,,9/1/2006,1796.5,USD,1796.5,USD,9/28/2006,,,,^100^100,^4000005183-2000035204^66260010,,,^Payee Account^GL Account,PCT,,"1500821225,  9/28/2006, 4,219,978.50, 1,796.50 Updated via script on 12/19/06.",,,,,,,,,,,
