"Status [Canceled, In Design, On Hold, Paid, Paid(Override), Partially Paid, To be Paid, Void]",*Payment Header Number (Text - 30),Status Date (Date),Planned Date (Date),Planned Amount (Decimal),Planned Currency,Actual Amount (Decimal),Actual Currency,Actual Date (Date),Offset Number (Text - 30),Offset Amount (Decimal),Offset Date (Date),Allocation Share - Start with and separate by ^ (e.g. '^35^15^50') (Text),Vendor Number - Start with and separate by ^ (e.g. '^VND1^VND0492^VND9348') (Text),Vendor Location Number - Start with and separate by ^ (e.g. '^VND1^VND0492^VND9348') (Text),Allocation Description - Start with and separate by ^ (e.g. '^Ck A/C 6557607504^Monticello RSA-4^Summerville') (Text),"Allocation Type - Start with and separate by ^ (e.g. '^Payee Account^Payee Account^Payee Account') [Budget Account, Business Area, Cost Center, GL Account, Journal Account, Payee Account, Profit Center]","By Percent or Amount? [PCT, AMT]",Reference No (Text - 30),Remarks (Text - 4000),Check Number (Text - 30),Check Amount (Decimal),Check Date (Date),Partials Actual Amount,Partials Actual Date,Partials Check No,Partials Check Amount,Partials Check Date,Partials Check Reference No,Partials Remarks
Paid(Override),113635,,1/1/2002,1390,USD,1390,USD,5/12/2016,,,,^100,^66260010,,,^GL Account,^PCT,,"Payment status changed from Open to Paid in transition from REM to Siterra

Closed on 08/19/2006",,,,,,,,,,,
Paid(Override),113635,,1/1/2003,1431.7,USD,1431.7,USD,5/12/2016,,,,^100,^66260010,,,^GL Account,^PCT,,"Payment status changed from Open to Paid in transition from REM to Siterra

Closed on 08/19/2006",,,,,,,,,,,
Paid(Override),113635,,1/1/2004,1474.65,USD,1474.65,USD,5/12/2016,,,,^100,^66260010,,,^GL Account,^PCT,,"Payment status changed from Open to Paid in transition from REM to Siterra

Closed on 08/19/2006",,,,,,,,,,,
Paid(Override),113635,,1/1/2005,1518.89,USD,1518.89,USD,5/12/2016,,,,^100,^66260010,,,^GL Account,^PCT,,"Payment status changed from Open to Paid in transition from REM to Siterra

Closed on 08/19/2006",,,,,,,,,,,
Paid(Override),113635,,1/1/2006,1564.46,USD,1564.46,USD,5/12/2016,,,,^100,^66260010,,,^GL Account,^PCT,,"Payment status changed from Open to Paid in transition from REM to Siterra

Closed on 08/19/2006",,,,,,,,,,,
Paid(Override),113635,,1/1/2007,1611.39,USD,1611.39,USD,12/18/2006,,,,^100^100,^4000089200-2000047719^66260010,,,^Payee Account^GL Account,^PCT^PCT,,,1501086567,135887.79,12/20/2006,,,,,,,,
Paid(Override),113635,,1/1/2008,1659.73,USD,1659.73,USD,12/10/2007,,,,^100^100,^4000089200-2000047719^66260010,,,^Payee Account^GL Account,^PCT^PCT,,,1501098702,139058.45,12/11/2007,,,,,,,,
Paid(Override),113635,,1/1/2009,1709.52,USD,1709.52,USD,12/16/2008,,,,^100^100,^4000089200-2000047719^66260010,,,^Payee Account^GL Account,^PCT^PCT,,P 2008/12/17,1501256630,144855.99,12/22/2008,,,,,,,,
Paid(Override),113635,,1/1/2010,1760.81,USD,1760.81,USD,12/18/2009,,,,^100^100,^4000089200-2000047719^66260010,,,^Payee Account^GL Account,^PCT^PCT,,PP 1501526667122909 2009/12/29 151812.72 1760.81 PP 1501499415122309 2009/12/23 151812.72 1760.81,1501526667,151812.72,12/29/2009,,,,,,,,
Paid(Override),113635,,1/1/2011,1813.64,USD,1813.64,USD,12/20/2010,,,,^100^100,^4000089200-2000047719^66260010,,,^Payee Account^GL Account,^PCT^PCT,,P 2010/12/21,1501333004,160650.87,12/22/2010,,,,,,,,
Paid(Override),113635,,1/1/2012,1868.04,USD,1868.04,USD,12/19/2011,,,,^100^100,^4000089200-2000047719^66260010,,,^Payee Account^GL Account,^PCT^PCT,,P 2011/12/20,1501348635,167684.9,12/21/2011,,,,,,,,
Paid(Override),113635,,10/1/2002,1390,USD,1390,USD,5/12/2016,,,,^100,^66260010,,,^GL Account,^PCT,,"Payment status changed from Open to Paid in transition from REM to Siterra

Closed on 08/19/2006",,,,,,,,,,,
Paid(Override),113635,,10/1/2003,1431.7,USD,1431.7,USD,5/12/2016,,,,^100,^66260010,,,^GL Account,^PCT,,"Payment status changed from Open to Paid in transition from REM to Siterra

Closed on 08/19/2006",,,,,,,,,,,
Paid(Override),113635,,10/1/2004,1474.65,USD,1474.65,USD,5/12/2016,,,,^100,^66260010,,,^GL Account,^PCT,,"Payment status changed from Open to Paid in transition from REM to Siterra

Closed on 08/19/2006",,,,,,,,,,,
Paid(Override),113635,,10/1/2005,1518.89,USD,1518.89,USD,5/12/2016,,,,^100,^66260010,,,^GL Account,^PCT,,"Payment status changed from Open to Paid in transition from REM to Siterra

Closed on 08/19/2006",,,,,,,,,,,
